country;HPI;population;GDPpcap;lifeExp;region;footprint;wellbeing;renewableEnergy;hunger;qualityOfLife;purchasingPower;climate
Philippines;35;96017322;2605;67.9;Asia Pacific;1.1;4.4;287.212.886;80.1;;;
Poland;27.5;38063164;13142;76.9;Post-communist;4.4;5.5;1.154.735.557;;153.61;80.77;64.33
Portugal;24.8;10514844;20577;80.3;Europe;3.9;4.3;3.049.879.177;;181.18;75.47;91.7
Republic of Congo;18.8;4286188;3191;61;Sub Saharan Africa;1.3;3.4;623.685.091;;;;
Romania;28.8;20058035;8577;74.3;Post-communist;2.7;4.6;2.434.150.754;94.5;146.13;61.9;66.96
Russia;18.7;143201676;14079;69.5;Post-communist;5.7;5.2;3.455.932.262;93.2;88.31;57.42;10.87
Rwanda;19.6;10817350;667;63.1;Sub Saharan Africa;0.9;3;8.844.690.473;72.6;;;
Senegal;21.9;13780108;1019;65.4;Sub Saharan Africa;1.2;3.3;4.329.716.965;83.5;;;
Serbia;29;7199077;5659;74.5;Post-communist;2.7;4.6;2.342.929.123;92.9;138.26;49.62;83.89
Sierra Leone;15.3;6043157;619;49.8;Sub Saharan Africa;1.2;4;7.305.429.458;65;;;
Slovakia;28.2;5407579;17207;75.9;Post-communist;4.1;5.4;1.214.105.169;94.7;;;
Slovenia;24.6;2057159;22478;80;Post-communist;5.8;5.7;2.267.789.442;;175.93;89.76;62.46
South Africa;15.9;52341695;7592;56.3;Sub Saharan Africa;3.3;4.6;1.658.715.452;;156.7;126.1;91.42
South Korea;24.8;50004441;24454;81.3;Asia Pacific;5.7;5.5;NAN;;170.29;120.64;51.35
Spain;36;46773055;28648;82.2;Europe;3.7;5.9;1.735.173.648;;186.41;105.31;90.8
Sri Lanka;33.8;20424000;3351;74.6;Asia Pacific;1.3;3.8;5.758.517.433;74.5;;;
Suriname;25.4;528535;9422;70.8;Americas;4.3;5.9;2.538.253.454;89.9;;;
Swaziland;15.5;1231694;3989;48.9;Sub Saharan Africa;2;4.4;6.355.079.827;75.8;;;
Sweden;28;9519374;57134;81.8;Europe;7.3;7.4;4.953.745.892;;185.81;128.22;61.8
Switzerland;34.3;7996861;83209;82.6;Europe;5.8;7.6;2.345.222.945;;208.54;178.74;70.5
Syria;19.1;21427155;2080;70.4;Middle East and North Africa;1.5;2.6;NAN;;;;
Tajikistan;34.2;7930929;962;69;Post-communist;0.9;4.3;4.071.364.057;70;;;
Tanzania;22.1;48645709;828;63.5;Sub Saharan Africa;1.3;3.6;8.667.344.532;71.6;;;
Thailand;37.3;67164130;5918;74.1;Asia Pacific;2.7;6;2.358.596.842;88.2;;;
Togo;13.2;6745581;580;58.6;Sub Saharan Africa;1.1;2.4;7.282.531.867;77.6;;;
Trinidad and Tobago;15.7;1341579;18322;70.1;Americas;7.9;6;0.280935357;91.5;;;
Tunisia;26.2;10777500;4188;74.6;Middle East and North Africa;2.3;4;1.292.407.437;94.5;;;
Turkey;26.4;74099255;10646;74.7;Middle East and North Africa;3.3;4.9;1.157.816.894;95;137.31;64.12;74.22
Turkmenistan;14.6;5172941;6798;65.3;Post-communist;5.5;5.1;0.041262014;87.7;;;
Uganda;19.4;35400620;656;57.1;Sub Saharan Africa;1.2;3.9;8.921.553.025;73.6;;;
Ukraine;26.4;45593300;3855;70.3;Post-communist;2.8;4.6;3.497.718.466;95;85.56;29.66;50.4
